ID,TimeStep,CumActualTime,TOTAL,CumQuant,Percentage
1,0,0:00,905,905,0.002456369
2,15,0:15,796,1701,0.004616888
3,30,0:30,681,2382,0.006465272
4,45,0:45,608,2990,0.008115517
5,60,1:00,479,3469,0.009415628
6,75,1:15,475,3944,0.010704883
7,90,1:30,427,4371,0.011863855
8,105,1:45,428,4799,0.013025541
9,120,2:00,402,5201,0.014116657
10,135,2:15,388,5589,0.015169774
11,150,2:30,380,5969,0.016201178
12,165,2:45,467,6436,0.017468719
13,180,3:00,432,6868,0.018641262
14,195,3:15,495,7363,0.0199848
15,210,3:30,560,7923,0.021504763
16,225,3:45,692,8615,0.023383004
17,240,4:00,744,9359,0.025402383
18,255,4:15,994,10353,0.028100318
19,270,4:30,1438,11791,0.032003366
20,285,4:45,1860,13651,0.037051814
21,300,5:00,2410,16061,0.043593084
22,315,5:15,3396,19457,0.052810575
23,330,5:30,4708,24165,0.065589121
24,345,5:45,5395,29560,0.080232337
25,360,6:00,5906,35466,0.096262519
26,375,6:15,6017,41483,0.11259398
27,390,6:30,6384,47867,0.129921559
28,405,6:45,6443,54310,0.147409277
29,420,7:00,6764,61074,0.16576826
30,435,7:15,6739,67813,0.184059387
31,450,7:30,6906,74719,0.202803789
32,465,7:45,6909,81628,0.221556334
33,480,8:00,6088,87716,0.238080504
34,495,8:15,6214,93930,0.254946666
35,510,8:30,6377,100307,0.272255245
36,525,8:45,6175,106482,0.289015552
37,540,9:00,5779,112261,0.304701029
38,555,9:15,5708,117969,0.320193795
39,570,9:30,5457,123426,0.335005293
40,585,9:45,5438,128864,0.34976522
41,600,10:00,5160,134024,0.363770594
42,615,10:15,5220,139244,0.377938821
43,630,10:30,5035,144279,0.391604918
44,645,10:45,5252,149531,0.405860001
45,660,11:00,5056,154587,0.419583096
46,675,11:15,5018,159605,0.433203051
47,690,11:30,5118,164723,0.447094428
48,705,11:45,5005,169728,0.460679098
49,720,12:00,4972,174700,0.474174199
50,735,12:15,4963,179663,0.487644871
51,750,12:30,5124,184787,0.501552534
52,765,12:45,4734,189521,0.51440165
53,780,13:00,4760,194281,0.527321336
54,795,13:15,5246,199527,0.541560134
55,810,13:30,5123,204650,0.555465082
56,825,13:45,5090,209740,0.56928046
57,840,14:00,5230,214970,0.58347583
58,855,14:15,5614,220584,0.59871346
59,870,14:30,5338,225922,0.613201965
60,885,14:45,5257,231179,0.627470619
61,900,15:00,5207,236386,0.641603561
62,915,15:15,5161,241547,0.655611649
63,930,15:30,5201,246748,0.669728307
64,945,15:45,5030,251778,0.683380832
65,960,16:00,5093,256871,0.697204354
66,975,16:15,5077,261948,0.710984448
67,990,16:30,4980,266928,0.724501262
68,1005,16:45,4931,271859,0.73788508
69,1020,17:00,5055,276914,0.751605461
70,1035,17:15,5206,282120,0.765735689
71,1050,17:30,5059,287179,0.779466927
72,1065,17:45,5388,292567,0.794091144
73,1080,18:00,5164,297731,0.808107375
74,1095,18:15,5453,303184,0.822908015
75,1110,18:30,5540,308724,0.837944793
76,1125,18:45,5330,314054,0.852411584
77,1140,19:00,4963,319017,0.865882257
78,1155,19:15,4561,323578,0.878261814
79,1170,19:30,4030,327608,0.889200119
80,1185,19:45,3861,331469,0.899679722
81,1200,20:00,3480,334949,0.909125207
82,1215,20:15,3280,338229,0.918027848
83,1230,20:30,3218,341447,0.926762207
84,1245,20:45,2893,344340,0.934614445
85,1260,21:00,2772,347112,0.942138262
86,1275,21:15,2828,349940,0.949814076
87,1290,21:30,2694,352634,0.957126184
88,1305,21:45,2250,354884,0.963233179
89,1320,22:00,2393,357277,0.969728307
90,1335,22:15,2271,359548,0.9758923
91,1350,22:30,2064,361612,0.981494449
92,1365,22:45,1787,363399,0.98634476
93,1380,23:00,1555,364954,0.990565372
94,1395,23:15,1368,366322,0.994278425
95,1410,23:30,1112,367434,0.997296637
96,1425,23:45,996,368430,1
