Simulation Cycle, Time, Personal Car Total Traveled Distance (Miles), Bus Total Traveled Distance (Miles), Uber/Taxi Total Traveled Distance (Miles)Personal Car Average Speed (mph), Taxi/Uber Average Speed (mph), Bus Average Speed (mph), Total Number of Personal Cars, Total Number of Taxi/UbersTotal Number of Buses, Average Personal Car Traveling Time (min), Average Uber/Taxi Traveling Time (min), Average Bus Traveling Time (min)
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
1,0.0,0.06006588191627558,0.129916821684227,0.0,1.3888888888888096,1.0,1.0,2687,20,27,0.0,0.0,0.0
2,0.0,0.15617129298231647,0.25679109235473574,0.0,1.424864574287637,1.0,1.0,2687,20,27,0.0,0.0,0.0
3,0.0,0.3114744561829354,0.3830110458536129,0.0,1.4454368771450128,1.0,1.0,2687,20,27,0.0,0.0,0.0
4,0.0,0.5217130205946513,0.5125639306578964,0.0,1.4813889922672003,1.0,1.0,2687,20,27,0.0,0.0,0.0
5,0.0,0.7662918489083388,0.642272725544723,0.0,1.514291684240895,1.0,1.0,2687,20,27,0.0,0.0,0.0
6,0.0,1.08489445133929,0.7722008282344922,0.0,1.5348836151185938,1.0,1.0,2687,20,27,0.0,0.0,0.0
7,0.0,1.4481347740673094,0.9009288493693287,0.0,1.5792570869550087,1.0,1.0,2687,20,27,0.0,0.0,0.0
8,0.0,1.8717316092987184,1.0307977201276917,0.0,1.604697223024968,1.0,1.0,2687,20,27,0.0,0.0,0.0
9,0.0,2.343765927654701,1.1603945911878384,0.0,1.6416777608732263,1.0,1.0,2687,20,27,0.0,0.0,0.0
10,0.0,2.849187813918382,1.2901877001191107,0.0,1.6703635248200466,1.0,1.0,2687,20,27,0.0,0.0,0.0
11,0.0,3.4153694161901735,1.4175837141302097,0.0,1.6905506374735424,1.0,1.0,2687,20,27,0.0,0.0,0.0
12,0.0,4.0144297343173365,1.5469594588236435,0.0,1.7252941361261014,1.0,1.0,2687,20,27,0.0,0.0,0.0
13,0.0,4.6744599226725825,1.6767177369212296,0.0,1.7462075407255253,1.0,1.0,2687,20,27,0.0,0.0,0.0
14,0.0,5.373442419684934,1.8014305234787757,0.0,1.7824666554646893,1.0,1.0,2687,20,27,0.0,0.0,0.0
15,0.0,6.114743809039758,1.931284664233593,0.0,1.8060065740185662,1.0,1.0,2687,20,27,0.0,0.0,0.0
16,0.0,6.901317313337443,2.0611806104445973,0.0,1.8313695782914285,1.0,1.0,2687,20,27,0.0,0.0,0.0
17,0.0,7.71505233742584,2.191137444137575,0.0,1.8581643254812694,1.0,1.0,2687,20,27,0.0,0.0,0.0
18,0.0,8.584181749903461,2.320168374298231,0.0,1.8747916095629866,1.0,1.0,2686,20,27,97.18323615009719,0.0,0.0
19,0.0,9.477036502144749,2.4501260026748177,0.0,1.9053048861062698,1.0,1.0,2686,20,27,97.18323615009719,0.0,0.0
20,0.0,10.406041557812022,2.5797206811083315,0.0,1.9199432888830947,1.0,1.0,2685,20,27,101.30828267919199,0.0,0.0
21,0.0,11.366700465139807,2.709711399773673,0.0,1.9428720222464901,1.0,1.0,2685,20,27,101.30828267919199,0.0,0.0
22,0.0,12.346813181962888,2.8397107975206244,0.0,1.9615352927915652,1.0,1.0,2685,20,27,101.30828267919199,0.0,0.0
23,0.0,13.361685025830582,2.969494872928812,0.0,1.970913107555427,1.0,1.0,2684,20,27,106.88329770556743,0.0,0.0
24,0.0,14.39753390322017,3.0990053980699,0.0,1.992813605141994,1.0,1.0,2684,20,27,106.88329770556743,0.0,0.0
25,0.0,15.45637692899728,3.2289333846250257,0.0,2.0052964407443734,1.0,1.0,2683,20,27,111.55830544375698,0.0,0.0
26,0.0,16.53839637358714,3.3564468455666296,0.0,2.0182989496257737,1.0,1.0,2683,20,27,111.55830544375698,0.0,0.0
27,0.0,17.630210504402633,3.48577451908089,0.0,2.033480807070625,1.0,1.0,2683,20,27,111.55830544375698,0.0,0.0
28,0.0,18.756178858305237,3.6154968073650577,0.0,2.039693258760937,1.0,1.0,2683,20,27,111.55830544375698,0.0,0.0
29,0.0,19.89475305958758,3.7451190722572325,0.0,2.0580398860114677,1.0,1.0,2683,20,27,111.55830544375698,0.0,0.0
30,0.0,21.064550304324236,3.8749715888000154,0.0,2.067615827783726,1.0,1.0,2683,20,27,111.55830544375698,0.0,0.0
31,0.0,22.252032980233764,4.004307700362004,0.0,2.0845841895617094,1.0,1.0,2683,20,27,111.55830544375698,0.0,0.0
32,0.0,23.459608789135828,4.134300996109425,0.0,2.096617786576138,1.0,1.0,2683,20,27,111.55830544375698,0.0,0.0
