ID,TimeStep,Time,TOTAL,InBoundPercentage,TOTAL,OutBoundPercentage
1,0,0:00,604,0.0023,644,0.0023
2,15,0:15,517,0.0020,572,0.0021
3,30,0:30,478,0.0018,443,0.0016
4,45,0:45,433,0.0016,402,0.0015
5,60,1:00,349,0.0013,324,0.0012
6,75,1:15,349,0.0013,317,0.0012
7,90,1:30,324,0.0012,283,0.0010
8,105,1:45,304,0.0011,293,0.0011
9,120,2:00,263,0.0010,270,0.0010
10,135,2:15,290,0.0011,251,0.0009
11,150,2:30,273,0.0010,261,0.0010
12,165,2:45,337,0.0013,320,0.0012
13,180,3:00,341,0.0013,261,0.0010
14,195,3:15,383,0.0014,319,0.0012
15,210,3:30,430,0.0016,350,0.0013
16,225,3:45,520,0.0020,452,0.0016
17,240,4:00,595,0.0023,410,0.0015
18,255,4:15,770,0.0029,625,0.0023
19,270,4:30,1075,0.0041,906,0.0033
20,285,4:45,1422,0.0054,1140,0.0042
21,300,5:00,1801,0.0068,1496,0.0055
22,315,5:15,2570,0.0097,2085,0.0076
23,330,5:30,3731,0.0141,2927,0.0107
24,345,5:45,4283,0.0162,3519,0.0128
25,360,6:00,4584,0.0173,4122,0.0150
26,375,6:15,4652,0.0176,4306,0.0157
27,390,6:30,4838,0.0183,4634,0.0169
28,405,6:45,4862,0.0184,4713,0.0172
29,420,7:00,4922,0.0186,5045,0.0184
30,435,7:15,4959,0.0188,5051,0.0184
31,450,7:30,4964,0.0188,5335,0.0194
32,465,7:45,5014,0.0190,5286,0.0193
33,480,8:00,4346,0.0164,4805,0.0175
34,495,8:15,4570,0.0173,4694,0.0171
35,510,8:30,4724,0.0179,4715,0.0172
36,525,8:45,4547,0.0172,4540,0.0165
37,540,9:00,4218,0.0160,4240,0.0155
38,555,9:15,4250,0.0161,4234,0.0154
39,570,9:30,3931,0.0149,3960,0.0144
40,585,9:45,3922,0.0148,3908,0.0142
41,600,10:00,3582,0.0135,3977,0.0145
42,615,10:15,3544,0.0134,4008,0.0146
43,630,10:30,3472,0.0131,3929,0.0143
44,645,10:45,3677,0.0139,3732,0.0136
45,660,11:00,3445,0.0130,3666,0.0134
46,675,11:15,3444,0.0130,3670,0.0134
47,690,11:30,3568,0.0135,3694,0.0135
48,705,11:45,3359,0.0127,3648,0.0133
49,720,12:00,3292,0.0124,3683,0.0134
50,735,12:15,3396,0.0128,3618,0.0132
51,750,12:30,3521,0.0133,3745,0.0136
52,765,12:45,3184,0.0120,3473,0.0127
53,780,13:00,3287,0.0124,3425,0.0125
54,795,13:15,3645,0.0138,3810,0.0139
55,810,13:30,3492,0.0132,3702,0.0135
56,825,13:45,3546,0.0134,3670,0.0134
57,840,14:00,3601,0.0136,3818,0.0139
58,855,14:15,3785,0.0143,4139,0.0151
59,870,14:30,3500,0.0132,4282,0.0156
60,885,14:45,3392,0.0128,4305,0.0157
61,900,15:00,3284,0.0124,4409,0.0161
62,915,15:15,3356,0.0127,4382,0.0160
63,930,15:30,3390,0.0128,4307,0.0157
64,945,15:45,3396,0.0128,4101,0.0149
65,960,16:00,3553,0.0134,4238,0.0154
66,975,16:15,3782,0.0143,3937,0.0143
67,990,16:30,3794,0.0143,3918,0.0143
68,1005,16:45,3800,0.0144,3898,0.0142
69,1020,17:00,3894,0.0147,3908,0.0142
70,1035,17:15,4084,0.0154,4040,0.0147
71,1050,17:30,3927,0.0149,3950,0.0144
72,1065,17:45,4127,0.0156,4117,0.0150
73,1080,18:00,3938,0.0149,3947,0.0144
74,1095,18:15,4136,0.0156,4193,0.0153
75,1110,18:30,4067,0.0154,4254,0.0155
76,1125,18:45,3949,0.0149,4098,0.0149
77,1140,19:00,3535,0.0134,3722,0.0136
78,1155,19:15,3205,0.0121,3477,0.0127
79,1170,19:30,2877,0.0109,2980,0.0109
80,1185,19:45,2789,0.0105,2831,0.0103
81,1200,20:00,2483,0.0094,2570,0.0094
82,1215,20:15,2295,0.0087,2452,0.0089
83,1230,20:30,2301,0.0087,2400,0.0087
84,1245,20:45,2042,0.0077,2144,0.0078
85,1260,21:00,1946,0.0074,2073,0.0076
86,1275,21:15,1944,0.0074,2134,0.0078
87,1290,21:30,1872,0.0071,1998,0.0073
88,1305,21:45,1505,0.0057,1814,0.0066
89,1320,22:00,1655,0.0063,1768,0.0064
90,1335,22:15,1650,0.0062,1536,0.0056
91,1350,22:30,1520,0.0057,1492,0.0054
92,1365,22:45,1276,0.0048,1302,0.0047
93,1380,23:00,1127,0.0043,1052,0.0038
94,1395,23:15,990,0.0037,960,0.0035
95,1410,23:30,769,0.0029,797,0.0029
96,1425,23:45,706,0.0027,716,0.0026
