GEOID,Latitude,Longitude
10,42.3595208653036,-71.05240742797
11,42.3608320384578,-71.0536968259314
12,42.3615462020213,-71.0551487761713
13,42.3579406688664,-71.0627095332243
14,42.3566634715947,-71.0618180790313
16,42.3548557399861,-71.054829333957
18,42.3572972963592,-71.0523371887983
19,42.3586717138856,-71.0521563303948
1A,42.3610766265916,-71.0620480807913
1B,42.3613016611413,-71.0628341624577
20,42.358963070638,-71.0522439900462
22,42.3632080865273,-71.0569721575753
2502513035030A,42.3615037040426,-71.0566902750142
2502513035030B,42.3602297100834,-71.0571507525239
2502513035030C,42.361693756478,-71.0573003877846
2502513035030D,42.3610462741794,-71.0569576500934
2502513035030E,42.3615226084335,-71.0576063692786
2502513035031A,42.3612968692389,-71.0608577036591
2502513035031B,42.3608502523351,-71.060867565682
2502513035031C,42.3591047883165,-71.0589716505127
2502513035031D,42.3624271939185,-71.0585220684271
2502513035031E,42.3602504487467,-71.0572897790384
2502513035195A,42.3557397198625,-71.0589192513441
2502513035195B,42.3555288445115,-71.056570919321
2502513035195C,42.3563819774574,-71.0594890328151
2502513035195D,42.3554726646196,-71.0573512297149
2502513035195E,42.3554898224295,-71.0580216281854
2502513035208A,42.3564448456566,-71.0582078415114
2502513035208B,42.3560708403191,-71.0548771315689
2502513035208C,42.3567123864192,-71.0530902485365
2502513035208D,42.3556632309918,-71.0556852638313
2502513035208E,42.3566079129288,-71.053928727948
2502513035223A,42.3582629765763,-71.0527615874302
2502513035223B,42.3568366644974,-71.0534539054153
2502513035223C,42.3576591148068,-71.0532216763938
2502513035223D,42.3576618288066,-71.0543701742311
2502513035223E,42.3584779813591,-71.0532477817784
2502513035236A,42.3592680861066,-71.0594871400582
2502513035236B,42.3583298099425,-71.0593988504387
2502513035236C,42.3589864027341,-71.0585931108024
2502513035236D,42.357663491005,-71.0580943898822
2502513035236E,42.3587588375209,-71.0599223671704
2502513035241A,42.356912563857,-71.0557590481072
2502513035241B,42.3573498437639,-71.0548478066126
2502513035241C,42.3567661616052,-71.0573596681579
2502513035241D,42.3568050520637,-71.0568090843526
2502513035241E,42.3568226200664,-71.0563431976508
2502513035242A,42.3560924576379,-71.0584617980826
2502513035242B,42.357022532728,-71.0587535356639
2502513035242C,42.3567840538908,-71.0578276987758
2502513035242D,42.3567889449042,-71.0579932055929
2502513035242E,42.3566265001693,-71.0591624784674
2502513035244A,42.358756165118,-71.0615108902534
2502513035244B,42.3591740240165,-71.0616317867317
2502513035244C,42.3586734274705,-71.0603139340782
2502513035244D,42.3608651463795,-71.061336470029
2502513035244E,42.3592900836097,-71.059861672952
2502513035246A,42.3582448387298,-71.0555975669133
2502513035246B,42.3589728876849,-71.0559614131377
2502513035246C,42.3588471572415,-71.0531842604721
2502513035246D,42.3586672216156,-71.0543567347275
2502513035246E,42.3579775281513,-71.0554506265455
2502513035248A,42.3575800785139,-71.0573322704969
2502513035248B,42.358862788777,-71.0572271158143
2502513035248C,42.3584985480226,-71.056987892843
2502513035248D,42.3575958097756,-71.0564122809594
2502513035248E,42.357271726455,-71.0578738980807
2502513035250A,42.3577831883957,-71.0596766516929
2502513035250B,42.3569846170418,-71.0603188231899
2502513035250C,42.3571825664323,-71.0591133400607
2502513035250D,42.3569578792289,-71.0593724888961
2502513035250E,42.3576897728147,-71.0593122027017
2502513035251A,42.3581854685516,-71.0613220984585
2502513035251B,42.357366,-71.061074
2502513035251C,42.358261002992,-71.0616047259007
2502513035251D,42.3571736456,-71.0612728198046
2502513035251E,42.3580012202262,-71.0604413722719
2A,42.362536730748,-71.0586248901797
2B,42.3625902686207,-71.0584785533279
4,42.3550711167818,-71.0583963559651
5,42.3550648824658,-71.0575431419387
6,42.3545860747511,-71.056348727291
7,42.3552337670812,-71.0540068230152
9,42.3577921799744,-71.0518956224311
